epoch,train_loss,val_loss,train_data,train_physics,train_collocation,omega2,omega3,val_thrust_approx_mape,val_thrust_approx_rmse,val_sfc_mape,val_sfc_rmse,val_T2_mape,val_T2_rmse,val_T4_mape,val_T4_rmse,val_T30_mape,val_T30_rmse,val_T50_mape,val_T50_rmse,val_P2_mape,val_P2_rmse,val_P30_mape,val_P30_rmse,val_Nf_mape,val_Nf_rmse,val_Nc_mape,val_Nc_rmse,val_farB_mape,val_farB_rmse,val_W_inlet_mape,val_W_inlet_rmse,val_BPR_mape,val_BPR_rmse,val_wf_mape,val_wf_rmse
0,16603291.226,4286096.0,16603189.232,9868.569480091095,3464.1563327026365,0.01,0.0010000000000000005,25.66851043701172,7590.47412109375,26.37459945678711,0.2626482844352722,8.695388793945312,56.526817321777344,14.779336929321289,481.4026184082031,17.155052185058594,284.07928466796875,12.986699104309082,297.1308288574219,0.6306983232498169,0.10559423267841339,113.10785675048828,294.7679748535156,16.517732620239258,758.6226196289062,11.111525535583496,1120.075927734375,2.9547377380367834e-06,1.1654562870333507e-09,21.501422882080078,262.9351501464844,46.47288131713867,0.07036945223808289,27.63047218322754,0.882774829864502
1,4685250.503,3090426.25,4685245.847,44.47996813392639,304.4431356201172,0.02979999999999999,0.010979999999999998,27.739425659179688,6442.0859375,27.114688873291016,0.26252347230911255,5.303904056549072,31.520238876342773,7.608386039733887,271.1495056152344,11.057880401611328,193.97177124023438,8.70322036743164,206.14154052734375,0.6306983232498169,0.10559423267841339,78.36532592773438,197.79342651367188,12.606573104858398,648.8577270507812,10.276337623596191,1065.1617431640625,2.9547377380367834e-06,1.1654562870333507e-09,13.745522499084473,127.04747772216797,49.7728385925293,0.0726311132311821,21.56570053100586,0.7983320951461792
2,3875850.385,5120022.0,3875847.158,15.81810646724701,116.34338092803955,0.049599999999999984,0.02096,19.12844467163086,8375.4716796875,19.09334373474121,0.21951140463352203,4.14330530166626,25.30799102783203,4.342980861663818,165.5696258544922,7.074567794799805,129.09153747558594,5.614227294921875,127.68885803222656,0.6306983232498169,0.10559423267841339,52.49677276611328,114.40779876708984,10.98426628112793,576.1423950195312,10.224529266357422,1056.4969482421875,2.9547377380367834e-06,1.1654562870333507e-09,12.94849681854248,97.69676208496094,50.06659698486328,0.07281230390071869,20.262218475341797,0.7356144189834595
3,3535646.3615,2464547.0,3535643.751,6.069113647460937,71.48323375701904,0.0694,0.030940000000000016,17.26137351989746,5746.671875,19.81450653076172,0.20939791202545166,3.51065731048584,21.860700607299805,4.206329345703125,164.19677734375,6.6699371337890625,118.62552642822266,5.331534385681152,114.67943572998047,0.6306983232498169,0.10559423267841339,46.66180419921875,103.0447006225586,10.637770652770996,557.9879150390625,10.266216278076172,1045.855712890625,2.9547377380367834e-06,1.1654562870333507e-09,11.557570457458496,94.72856903076172,51.87660598754883,0.07480697333812714,21.68964195251465,0.7920706272125244
4,2921676.921,4981283.0,2921674.693,3.7782919301986695,46.45848127746582,0.08919999999999997,0.04092,19.16669464111328,8266.4609375,18.958602905273438,0.20663653314113617,3.6474103927612305,24.4044132232666,3.8730080127716064,152.1143341064453,6.644133567810059,119.20470428466797,3.941643714904785,81.45390319824219,0.6306983232498169,0.10559423267841339,35.95164108276367,81.81248474121094,10.68857192993164,544.8107299804688,9.732104301452637,1022.2323608398438,2.9547377380367834e-06,1.1654562870333507e-09,12.336833000183105,102.58015441894531,46.179203033447266,0.07206657528877258,21.162357330322266,0.7966675758361816
5,2848503.285,3131189.75,2848501.8615,1.965093206882477,23.690481390953064,0.109,0.05090000000000001,17.659801483154297,6516.0947265625,23.232349395751953,0.23956505954265594,2.919029712677002,19.619693756103516,3.8871023654937744,147.31422424316406,6.344935894012451,112.60577392578125,3.397563934326172,70.793212890625,0.6306983232498169,0.10559423267841339,25.03727912902832,79.78089141845703,9.700289726257324,523.4051513671875,9.845301628112793,1023.9713134765625,2.9547377380367834e-06,1.1654562870333507e-09,11.883399963378906,92.50238037109375,45.96224594116211,0.0736674889922142,22.904104232788086,0.8382615447044373
6,2456839.109,2839681.25,2456837.783,1.8221133046150209,17.973084177017213,0.1288,0.06088000000000002,17.2996826171875,6199.41015625,23.847898483276367,0.23954635858535767,2.482837677001953,16.874950408935547,3.7238125801086426,142.80909729003906,6.085934162139893,111.0468978881836,2.9796555042266846,64.3800277709961,0.6306983232498169,0.10559423267841339,28.236909866333008,71.82878112792969,9.209378242492676,509.2575378417969,9.428169250488281,1006.2786254882812,2.9547377380367834e-06,1.1654562870333507e-09,10.970696449279785,92.6767349243164,47.34222412109375,0.07435166090726852,23.70134162902832,0.8872107863426208
7,2287493.7505,2077933.375,2287492.4705,1.685905068397522,14.421952511787415,0.14859999999999995,0.07086000000000002,15.944774627685547,5270.7177734375,27.639406204223633,0.2755372226238251,2.5827786922454834,16.124088287353516,3.8371331691741943,151.2372283935547,6.037955284118652,107.55244445800781,3.112435817718506,67.28890228271484,0.6306983232498169,0.10559423267841339,26.099390029907227,70.07218170166016,8.779078483581543,504.07708740234375,9.280567169189453,1001.619140625,2.9547377380367834e-06,1.1654562870333507e-09,12.176074028015137,95.53607177734375,48.4106559753418,0.07331477850675583,27.540386199951172,1.045340657234192
8,2539219.11625,1925865.25,2539217.824,1.5882652399539947,12.728150058746339,0.1684,0.08084000000000002,17.0214786529541,5070.2158203125,26.420291900634766,0.248665452003479,2.4207372665405273,15.66079330444336,3.685412883758545,143.89297485351562,5.480242729187012,100.01509094238281,3.312180280685425,71.40968322753906,0.6306983232498169,0.10559423267841339,26.14070701599121,66.15343475341797,8.461773872375488,483.3742370605469,9.035015106201172,986.5691528320312,2.9547377380367834e-06,1.1654562870333507e-09,12.709628105163574,87.3185043334961,48.795536041259766,0.07276858389377594,28.155956268310547,1.0083848237991333
9,2015894.935,2036811.125,2015893.97225,1.5714502015113831,7.313028042793274,0.18819999999999995,0.09082000000000001,14.057284355163574,5223.50244140625,30.362056732177734,0.3098394274711609,2.4631991386413574,16.611948013305664,3.1805522441864014,125.54927062988281,5.356078624725342,99.05596160888672,3.1036481857299805,68.32581329345703,0.6306983232498169,0.10559423267841339,27.310466766357422,72.09764862060547,8.143357276916504,476.6615905761719,8.969884872436523,979.6761474609375,2.9547377380367834e-06,1.1654562870333507e-09,11.582427024841309,87.66761016845703,49.05845642089844,0.07191971689462662,29.893081665039062,1.0519555807113647
