timestep,reward,length,violations,thrust,sfc,T4
7800,-62.951324,200,53,10360.400000000001,0.648949146270752,2784.12109375
8000,-204.013055,200,73,10360.400000000001,0.648949146270752,2784.12109375
8200,-226.790534,200,82,10360.400000000001,0.648949146270752,2784.12109375
8400,-65.656102,200,51,10360.400000000001,0.648949146270752,2784.12109375
8600,38.412217,200,36,10360.400000000001,0.648949146270752,2784.12109375
8800,-66.872816,200,54,10360.400000000001,0.648949146270752,2784.12109375
9000,113.609877,200,26,10360.400000000001,0.648949146270752,2784.12109375
9200,277.373262,200,0,10360.400000000001,0.648949146270752,2784.12109375
9400,-596.608692,200,140,10360.400000000001,0.648949146270752,2784.12109375
9600,-379.664695,200,103,10360.400000000001,0.648949146270752,2784.12109375
9800,-401.374026,200,110,10360.400000000001,0.648949146270752,2784.12109375
10000,-208.317846,200,76,10360.400000000001,0.648949146270752,2784.12109375
10200,-300.285268,200,91,10360.400000000001,0.648949146270752,2784.12109375
10400,-853.020744,200,177,10360.400000000001,0.648949146270752,2784.12109375
10600,-182.696185,200,70,10360.400000000001,0.648949146270752,2784.12109375
10800,-227.485533,200,78,10360.400000000001,0.648949146270752,2784.12109375
11000,-224.460667,200,78,10360.400000000001,0.648949146270752,2784.12109375
11200,143.925561,200,18,10360.400000000001,0.648949146270752,2784.12109375
11400,9.614699,200,44,10360.400000000001,0.648949146270752,2784.12109375
11600,-377.674083,200,101,10360.400000000001,0.648949146270752,2784.12109375
11800,-366.368306,200,101,10360.400000000001,0.648949146270752,2784.12109375
12000,-555.613189,200,132,10360.400000000001,0.648949146270752,2784.12109375
12200,-667.800265,200,149,10360.400000000001,0.648949146270752,2784.12109375
12400,-274.906823,200,84,10360.400000000001,0.648949146270752,2784.12109375
12600,-300.168015,200,87,10360.400000000001,0.648949146270752,2784.12109375
12800,135.552835,200,18,10360.400000000001,0.648949146270752,2784.12109375
13000,-148.979446,200,66,10360.400000000001,0.648949146270752,2784.12109375
13200,-576.603512,200,133,10360.400000000001,0.648949146270752,2784.12109375
13400,36.316283,200,36,10360.400000000001,0.648949146270752,2784.12109375
13600,64.252114,200,34,10360.400000000001,0.648949146270752,2784.12109375
13800,-397.485305,200,105,10360.400000000001,0.648949146270752,2784.12109375
14000,129.48366,200,23,10360.400000000001,0.648949146270752,2784.12109375
14200,-254.361479,200,81,10360.400000000001,0.648949146270752,2784.12109375
14400,-194.532312,200,73,10360.400000000001,0.648949146270752,2784.12109375
14600,-682.040015,200,152,10360.400000000001,0.648949146270752,2784.12109375
14800,271.202577,200,0,10360.400000000001,0.648949146270752,2784.12109375
15000,-86.214013,200,55,10360.400000000001,0.648949146270752,2784.12109375
15200,-127.297414,200,59,10360.400000000001,0.648949146270752,2784.12109375
15400,133.196119,200,19,10360.400000000001,0.648949146270752,2784.12109375
15600,-115.089737,200,62,10360.400000000001,0.648949146270752,2784.12109375
15800,-335.216111,200,96,10360.400000000001,0.648949146270752,2784.12109375
16000,8.70829,200,41,10360.400000000001,0.648949146270752,2784.12109375
16200,-48.635479,200,50,10360.400000000001,0.648949146270752,2784.12109375
