timestep,reward,length,violations,thrust,sfc,T4
200,212.174016,200,10,5116.75,0.5935987830162048,2740.0517578125
400,-466.534479,200,78,6003.900000000001,0.5447957664728165,2742.66943359375
600,-2451.558179,200,94,6380.301562500001,0.5193893983960152,2745.53076171875
800,-810.729501,200,69,7751.7640625,0.7526203989982605,2745.00439453125
1000,-1383.467097,200,93,5471.6953125,0.586836189031601,2740.847900390625
1200,-716.125336,200,69,5978.740625,0.5469304695725441,2742.5263671875
1400,-1639.673672,200,74,10067.182812500001,0.6957600265741348,2775.157958984375
1600,-1317.484266,200,68,9360.46875,0.7734597474336624,2758.22119140625
1800,-3056.970354,200,76,5660.032812500001,0.5738849192857742,2741.25
2000,-180.506733,200,66,5685.4765625,0.5718756839632988,2741.3193359375
2200,-463.921758,200,109,7303.2109375,0.6605688482522964,2747.381103515625
2400,-1005.170763,200,61,5943.475,0.5499567091464996,2742.33642578125
2600,-3553.415475,200,114,5269.6390625,0.594751313328743,2740.473388671875
2800,-882.390011,200,83,5107.28125,0.5932276323437691,2740.017333984375
3000,-3763.905893,200,131,5295.3125,0.5942300334572792,2740.527099609375
3200,-102.465417,200,56,9856.553125,0.7214613258838654,2769.55419921875
3400,-2513.68809,200,105,6719.840625000001,0.5211809277534485,2748.685302734375
3600,-695.532156,200,43,8461.84375,0.813564658164978,2746.119384765625
3800,-282.445042,200,85,10164.112500000001,0.6825276464223862,2777.9306640625
4000,-237.393204,200,74,10233.714062500001,0.6720107793807983,2780.022216796875
4200,-2495.254224,200,96,7768.329687500001,0.7551714032888412,2744.95751953125
4400,-1440.286564,200,57,5254.0859375,0.5949822068214417,2740.439208984375
4600,174.600213,200,16,7306.0765625,0.6613150984048843,2747.35986328125
4800,-420.468284,200,69,5695.970312500001,0.5710333585739136,2741.349365234375
5000,-1827.228738,200,107,7580.2734375,0.7228458672761917,2745.66796875
5200,-1268.469232,200,78,10086.1234375,0.6932713091373444,2775.6884765625
5400,-111.492938,200,61,10327.221875000001,0.6556472182273865,2783.005859375
5600,-450.088551,200,113,10179.393750000001,0.6803075969219208,2778.3818359375
5800,-71.624958,200,55,10344.714062500001,0.6521853059530258,2783.590087890625
6000,-219.854914,200,77,10217.526562500001,0.6745567917823792,2779.527099609375
6200,196.062304,200,5,10354.807812500001,0.6501175463199615,2783.93115234375
6400,67.625378,200,6,10349.465625,0.6512188166379929,2783.750244140625
6600,-123.654564,200,58,5273.673437500001,0.5946807563304901,2740.482177734375
6800,213.484836,200,10,8227.6296875,0.8040782809257507,2745.003662109375
7000,133.421408,200,14,10347.829687500001,0.6515529751777649,2783.695068359375
7200,117.575931,200,13,5804.4921875,0.5619791895151138,2741.7119140625
7400,204.988894,200,2,5364.8,0.5920367315411568,2740.658935546875
